model,scaling,smote,accuracy_cv_mean,accuracy_cv_std,precision_macro_cv_mean,precision_macro_cv_std,recall_macro_cv_mean,recall_macro_cv_std,f1_macro_cv_mean,f1_macro_cv_std,holdout_accuracy,holdout_precision_macro,holdout_recall_macro,holdout_f1_macro,holdout_phase1_recall,holdout_phase2_recall,holdout_phase3_recall
SVM-linear,True,False,0.7392335115864528,0.07504130342965229,0.8095296988536659,0.08308728612991684,0.6908548227371756,0.0988303567604335,0.71844794910257,0.09988610807045314,0.8095238095238095,0.8591269841269842,0.7720057720057719,0.8039337474120082,0.8636363636363636,0.7857142857142857,0.6666666666666666
SVM-linear,True,True,0.7252941176470589,0.06812405582406006,0.7467993864045149,0.09199578434228724,0.697513567042979,0.09094783437984597,0.7048290995611214,0.08926391573752837,0.7619047619047619,0.7345848595848596,0.7734487734487735,0.7485747098150198,0.7727272727272727,0.7142857142857143,0.8333333333333334
SVM-rbf,True,False,0.7427629233511586,0.07201745902780832,0.8112558655158243,0.08337006416811073,0.6766056644880174,0.0987578361416877,0.7018542545863902,0.10177622046078144,0.8809523809523809,0.9057539682539683,0.8751803751803752,0.8864928353300446,0.8636363636363636,0.9285714285714286,0.8333333333333334
SVM-rbf,True,True,0.7409090909090907,0.06582823912802462,0.7731054856444614,0.0945824724450675,0.6955630817983759,0.091728811629382,0.7090468753960593,0.09046042958727572,0.8809523809523809,0.8723370927318296,0.9155844155844156,0.8892641234104648,0.8181818181818182,0.9285714285714286,1.0
SVM-poly,True,False,0.6498930481283423,0.06817767260675975,0.7137456883735743,0.14604551649234257,0.5576815210932858,0.10313062098910143,0.5641813854805796,0.11938655884244176,0.7380952380952381,0.8402777777777778,0.6746031746031745,0.7049382716049383,1.0,0.35714285714285715,0.6666666666666666
SVM-poly,True,True,0.7132442067736185,0.08086882849479374,0.7456731013593378,0.12607768797607402,0.6398783917607447,0.10659454846567194,0.6542589509353582,0.11749497761006461,0.7857142857142857,0.7916666666666666,0.77994227994228,0.7839093273875882,0.8636363636363636,0.6428571428571429,0.8333333333333334
SVM-sigmoid,True,False,0.6975222816399287,0.06561527769763939,0.7271366303138772,0.15636845497685717,0.5937433155080213,0.09231185633739798,0.6074639672693535,0.11112666240976436,0.7142857142857143,0.8021978021978021,0.6219336219336219,0.6547619047619048,0.8181818181818182,0.7142857142857143,0.3333333333333333
SVM-sigmoid,True,True,0.6741711229946524,0.07161796450143788,0.6597472279755563,0.10357914870969162,0.6511598336304218,0.08918225271598114,0.6365682168841001,0.08651386448132159,0.7142857142857143,0.6888616557734205,0.7518037518037518,0.705982905982906,0.6363636363636364,0.7857142857142857,0.8333333333333334
KNN,True,False,0.7457040998217469,0.06444952965461513,0.8155579703456134,0.10411500195507646,0.652132303426421,0.08807771664044049,0.6789805803361889,0.09992865775670114,0.8571428571428571,0.9,0.7792207792207791,0.8109278693986339,0.9090909090909091,0.9285714285714286,0.5
KNN,True,True,0.7355080213903743,0.07125770797663353,0.7714682803225001,0.08132105650512521,0.6991586452762922,0.08595541274155136,0.7136337689358484,0.08263012950389372,0.8809523809523809,0.9040247678018575,0.9155844155844156,0.90558615263572,0.8181818181818182,0.9285714285714286,1.0
GaussianNB,True,False,0.7274153297682711,0.10675925152785906,0.7900808522838743,0.07765862831743105,0.7166163596751832,0.09324652811552847,0.7248924667883966,0.10228643788812514,0.8571428571428571,0.888235294117647,0.86002886002886,0.8683144812177069,0.8181818181818182,0.9285714285714286,0.8333333333333334
GaussianNB,True,True,0.6902495543672014,0.09948585444182034,0.7228109781515356,0.09262300911667458,0.6951836007130124,0.08956896889927032,0.6831246253947013,0.09797918261600236,0.7142857142857143,0.7604617604617605,0.7691197691197691,0.7407407407407408,0.5454545454545454,0.9285714285714286,0.8333333333333334
DecisionTree,True,False,0.8669162210338683,0.0569153664875332,0.8783931563792244,0.0683261316874699,0.8131867696573579,0.08456522350784972,0.8259961977883905,0.08260519027074481,0.9047619047619048,0.9233954451345756,0.8816738816738817,0.8998556998556998,0.9545454545454546,0.8571428571428571,0.8333333333333334
DecisionTree,True,True,0.8716934046345812,0.05630469197598238,0.8759125772959736,0.06904003673023926,0.827439889086948,0.08411737135802168,0.8382105493632567,0.07856135041054926,0.9285714285714286,0.9453734671125975,0.9372294372294373,0.9407407407407407,0.9545454545454546,0.8571428571428571,1.0
